,KPI-total-investigations,KPI-total-audits,KPI-total-routine,KPI-total-prosecuted,KPI-total-penalized,KPI-total-warning,KPI-grade-5,KPI-grade-4,KPI-grade-3,KPI-grade-2,KPI-grade-1,KPI-grade-0,KPI-farmers-compliance,KPI-seasonal-farmers-compliance,KPI-NRAR-perceived-compliance,KPI-NRAR-surveillance-rate
1,0.0,0.0,1.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,499.0,1.0,0.0,0.0,0.0,0.0,447.0,44.7,100.0,0.2
3,0.0,0.0,1.0,0.0,0.0,1.0,498.0,2.0,0.0,0.0,0.0,0.0,450.0,59.8,-150.0,0.4
4,0.0,0.0,2.0,0.0,0.0,2.0,496.0,4.0,0.0,0.0,0.0,0.0,449.0,67.3,-150.0,0.8
5,0.0,0.0,1.0,0.0,0.0,1.0,495.0,5.0,0.0,0.0,0.0,0.0,450.0,71.84,0.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,495.0,5.0,0.0,0.0,0.0,0.0,449.0,74.83333333333334,100.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,495.0,5.0,0.0,0.0,0.0,0.0,449.0,76.97142857142856,100.0,1.0
8,0.0,0.0,1.0,0.0,0.0,1.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,78.575,16.666666666666664,1.2
9,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,79.82222222222222,100.0,1.2
10,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,80.82,100.0,1.2
11,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,81.63636363636363,100.0,1.2
12,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,82.31666666666666,100.0,1.2
13,0.0,0.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,82.89230769230768,100.0,1.2
14,0.0,1.0,0.0,0.0,0.0,0.0,494.0,6.0,0.0,0.0,0.0,0.0,449.0,83.38571428571429,100.0,1.4
15,0.0,0.0,1.0,0.0,0.0,1.0,493.0,7.0,0.0,0.0,0.0,0.0,450.0,83.82666666666667,37.5,1.6
16,0.0,0.0,1.0,0.0,0.0,1.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,84.2,44.44444444444444,1.8
17,0.0,0.0,0.0,0.0,0.0,0.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,84.52941176470587,100.0,1.8
18,0.0,0.0,0.0,0.0,0.0,0.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,84.82222222222222,100.0,1.8
19,0.0,0.0,0.0,0.0,0.0,0.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,85.08421052631579,100.0,1.8
20,0.0,0.0,0.0,0.0,0.0,0.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,85.32,100.0,1.8
21,0.0,1.0,0.0,0.0,0.0,0.0,492.0,8.0,0.0,0.0,0.0,0.0,449.0,85.53333333333335,100.0,2.0
22,0.0,0.0,1.0,0.0,0.0,1.0,491.0,9.0,0.0,0.0,0.0,0.0,449.0,85.72727272727272,54.54545454545454,2.2
23,0.0,0.0,0.0,0.0,0.0,0.0,491.0,9.0,0.0,0.0,0.0,0.0,450.0,85.91304347826087,100.0,2.2
24,0.0,0.0,2.0,0.0,0.0,2.0,489.0,11.0,0.0,0.0,0.0,0.0,450.0,86.08333333333334,23.076923076923084,2.6
25,0.0,0.0,0.0,0.0,0.0,0.0,489.0,11.0,0.0,0.0,0.0,0.0,449.0,89.825,100.0,2.4
26,0.0,0.0,0.0,0.0,0.0,0.0,489.0,11.0,0.0,0.0,0.0,0.0,449.0,89.84166666666665,100.0,2.4
27,0.0,0.0,0.0,0.0,0.0,0.0,489.0,11.0,0.0,0.0,0.0,0.0,449.0,89.83333333333334,100.0,2.2
28,0.0,1.0,0.0,0.0,0.0,0.0,489.0,11.0,0.0,0.0,0.0,0.0,449.0,89.83333333333334,100.0,2.0
29,0.0,1.0,1.0,0.0,0.0,1.0,488.0,12.0,0.0,0.0,0.0,0.0,450.0,89.83333333333334,54.54545454545454,2.2
30,0.0,0.0,1.0,0.0,0.0,1.0,487.0,13.0,0.0,0.0,0.0,0.0,451.0,89.85,58.33333333333333,2.4
31,0.0,0.0,1.0,0.0,0.0,1.0,486.0,14.0,0.0,0.0,0.0,0.0,450.0,89.85833333333335,61.53846153846154,2.6
32,0.0,0.0,0.0,0.0,0.0,0.0,486.0,14.0,0.0,0.0,0.0,0.0,449.0,89.85833333333335,100.0,2.4
33,0.0,0.0,1.0,0.0,0.0,1.0,485.0,15.0,0.0,0.0,0.0,0.0,449.0,89.85833333333335,61.53846153846154,2.6
34,0.0,0.0,0.0,0.0,0.0,0.0,485.0,15.0,0.0,0.0,0.0,0.0,450.0,89.86666666666666,100.0,2.6
35,0.0,0.0,1.0,0.0,0.0,1.0,484.0,16.0,0.0,0.0,0.0,0.0,450.0,89.875,64.28571428571428,2.8
36,0.0,0.0,0.0,0.0,0.0,0.0,484.0,16.0,0.0,0.0,0.0,0.0,449.0,89.875,100.0,2.8
37,0.0,0.0,1.0,0.0,0.0,1.0,483.0,17.0,0.0,0.0,0.0,0.0,449.0,89.875,66.66666666666667,3.0
38,0.0,0.0,1.0,0.0,0.0,1.0,482.0,18.0,0.0,0.0,0.0,0.0,449.0,89.875,66.66666666666667,3.0
39,0.0,0.0,0.0,0.0,0.0,0.0,482.0,18.0,0.0,0.0,0.0,0.0,450.0,89.875,100.0,2.8
40,0.0,0.0,0.0,0.0,0.0,0.0,482.0,18.0,0.0,0.0,0.0,0.0,450.0,89.88333333333334,100.0,2.6
41,0.0,0.0,1.0,0.0,0.0,1.0,481.0,19.0,0.0,0.0,0.0,0.0,449.0,89.88333333333334,64.28571428571428,2.8
